ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
45,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.787245,6.285,4.26,0.06,0
46,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.797993,6.325,4.26,0.06,0
47,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.810574,6.365,4.26,0.06,0
48,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.824905,6.405,4.26,0.06,0
49,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.840895,6.445,4.26,0.06,0
50,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.858454,6.485,4.26,0.06,0
51,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.780724,6.125,4.22,0.06,0
52,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.783433,6.165,4.22,0.06,0
53,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.788165,6.205,4.22,0.06,0
54,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.794885,6.245,4.22,0.06,0
55,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.803542,6.285,4.22,0.06,0
56,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.814074,6.325,4.22,0.06,0
57,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.826411,6.365,4.22,0.06,0
58,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.840471,6.405,4.22,0.06,0
59,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.856172,6.445,4.22,0.06,0
60,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.873423,6.485,4.22,0.06,0
61,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.799158,6.125,4.18,0.06,0
62,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.801805,6.165,4.18,0.06,0
63,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.80643,6.205,4.18,0.06,0
64,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.812999,6.245,4.18,0.06,0
65,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.821465,6.285,4.18,0.06,1
66,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.83177,6.325,4.18,0.06,0
67,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.843848,6.365,4.18,0.06,0
68,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.857623,6.405,4.18,0.06,0
